tconst	startYear	primaryTitle	averageRating	numVotes
tt1630029	2022	Avatar: The Way of Water	7.5	537241
tt1979320	2013	Rush	8.1	537046
tt0790636	2013	Dallas Buyers Club	7.9	536387
tt0298148	2004	Shrek 2	7.4	533782
tt2245084	2014	Big Hero 6	7.8	531775
tt0092099	1986	Top Gun	7.0	531098
tt0038650	1946	It's a Wonderful Life	8.6	529851
tt0119116	1997	The Fifth Element	7.6	528882
tt0448157	2008	Hancock	6.4	528583
tt1950186	2019	Ford v Ferrari	8.1	527615
tt1951265	2014	The Hunger Games: Mockingjay - Part 1	6.6	526856
tt3183660	2016	Fantastic Beasts and Where to Find Them	7.2	526691
tt0398286	2010	Tangled	7.7	523188
tt2527338	2019	Star Wars: Episode IX - The Rise of Skywalker	6.4	521124
tt1895587	2015	Spotlight	8.1	520763
tt1677720	2018	Ready Player One	7.4	520216
tt9419884	2022	Doctor Strange in the Multiverse of Madness	6.9	518332
tt1291584	2011	Warrior	8.1	516217
tt0362227	2004	The Terminal	7.4	515812
tt1568346	2011	The Girl with the Dragon Tattoo	7.8	515266
tt1454029	2011	The Help	8.1	514986
tt1596363	2015	The Big Short	7.8	514164
tt1430132	2013	The Wolverine	6.7	513213
tt0335266	2003	Lost in Translation	7.7	512456
tt3397884	2015	Sicario	7.7	511480
tt1800241	2013	American Hustle	7.2	510721
tt1535109	2013	Captain Phillips	7.8	508957
tt1723121	2013	We're the Millers	7.0	508696
tt1840309	2014	Divergent	6.6	507082
tt6263850	2024	Deadpool & Wolverine	7.5	507023
tt0317219	2006	Cars	7.3	506345
tt0327056	2003	Mystic River	7.9	505708
tt1408101	2013	Star Trek Into Darkness	7.7	504626
tt0367882	2008	Indiana Jones and the Kingdom of the Crystal Skull	6.2	504339
tt0458352	2006	The Devil Wears Prada	7.0	502671
tt0099088	1990	Back to the Future Part III	7.5	502380
tt0372183	2004	The Bourne Supremacy	7.7	501427
tt0084787	1982	The Thing	8.2	501422
tt2103281	2014	Dawn of the Planet of the Apes	7.6	501220
tt0117060	1996	Mission: Impossible	7.2	499935
tt0319262	2004	The Day After Tomorrow	6.5	498463
tt2980516	2014	The Theory of Everything	7.7	498215
tt0139654	2001	Training Day	7.8	498056
tt12593682	2022	Bullet Train	7.3	496662
tt0101414	1991	Beauty and the Beast	8.0	494402
tt1515091	2011	Sherlock Holmes: A Game of Shadows	7.4	493717
tt0974015	2017	Justice League	6.0	493044
tt0407304	2005	War of the Worlds	6.6	492186
tt0387564	2004	Saw	7.6	491732
tt0325710	2003	The Last Samurai	7.8	490928
tt0289043	2002	28 Days Later	7.5	490493
tt0217505	2002	Gangs of New York	7.5	489989
tt1210166	2011	Moneyball	7.6	488977
tt0103639	1992	Aladdin	8.0	487962
tt0405422	2005	The 40-Year-Old Virgin	7.1	486855
tt0347149	2004	Howl's Moving Castle	8.2	486512
tt0887912	2008	The Hurt Locker	7.5	485725
tt0830515	2008	Quantum of Solace	6.5	484184
tt0120616	1999	The Mummy	7.1	483971
tt0446029	2010	Scott Pilgrim vs. the World	7.5	483351
tt0033467	1941	Citizen Kane	8.3	483324
tt1535108	2013	Elysium	6.6	483272
tt2379713	2015	Spectre	6.8	481983
tt1772341	2012	Wreck-It Ralph	7.7	481485
tt2283362	2017	Jumanji: Welcome to the Jungle	7.0	481056
